siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-02 16:00",14
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-02 16:00",36
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-02 16:00",0.16
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-02 16:00",0.4
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-02 17:00",0.3
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-02 17:00",8
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-02 17:00",6
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-02 17:00",20
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-02 17:00",37
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-02 17:00",0.19
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-02 18:00",0.8
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-02 18:00",11
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-02 18:00",10
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-02 18:00",22
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-02 18:00",42
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-02 18:00",0.25
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-02 19:00",0.8
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-02 19:00",19
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-02 19:00",13
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-02 19:00",35
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-02 19:00",39
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-02 19:00",0.31
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-02 20:00",0.7
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-02 20:00",0.39
